2015-07-07 10:31:18,941 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Determining hash of code files on disk
2015-07-07 10:31:18,984 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Hash determined (took 41ms)
2015-07-07 10:31:18,992 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-07-07 10:31:19,002 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 22 (took 9ms)
2015-07-07 10:31:19,006 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-07-07 10:31:19,007 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
2015-07-07 10:31:19,007 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-07-07 10:31:19,009 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 11 (took 1ms)
2015-07-07 10:31:19,017 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-07-07 10:31:19,019 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 12 (took 1ms)
2015-07-07 10:31:19,019 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-07-07 10:31:19,020 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 7 (took 1ms)
2015-07-07 10:31:19,021 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-07-07 10:31:19,022 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 1ms)
2015-07-07 10:31:19,022 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-07-07 10:31:19,024 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 1ms)
2015-07-07 10:31:19,155 [154] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 40] Initializing Examine and binding to business logic events
2015-07-07 10:31:19,403 [154] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 40] Adding examine event handlers for index providers: 3
2015-07-07 10:31:19,477 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of umbraco.interfaces.IApplication
2015-07-07 10:31:19,478 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 1ms)
2015-07-07 10:31:19,511 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Starting resolution types of umbraco.interfaces.ITree
2015-07-07 10:31:19,513 [154] INFO  Umbraco.Core.PluginManager - [Thread 40] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 2ms)
2015-07-07 10:31:22,136 [154] INFO  umbraco.BusinessLogic.Log - [Thread 147] Log scrubbed.  Removed all items older than 2015-05-08 10:31:22
2015-07-07 10:31:22,141 [154] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 147] Application shutdown. Reason: ConfigurationChange
2015-07-07 10:31:22,723 [153] INFO  Umbraco.Core.PluginManager - [Thread 40] Determining hash of code files on disk
2015-07-07 10:31:22,765 [153] INFO  Umbraco.Core.PluginManager - [Thread 40] Hash determined (took 41ms)
